calweek,Cluster/Country/Region,SubCluster,brand,dc,TimeSeries_Key,Quantity,ARIMA_Predicted
202113,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,554.0,
202114,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,525.0,
202115,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,534.0,
202116,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,512.0,
202117,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,541.0,
202118,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,535.0,
202119,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,550.0,
202120,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,550.0,
202121,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,561.0,
202122,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,533.0,
202123,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,555.0,
202124,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,527.0,
202125,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,527.0,
202126,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,533.0,
202127,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,555.0,
202128,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,530.0,
202129,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,554.0,
202130,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,564.0,
202131,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,552.0,
202132,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,502.0,
202133,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,531.0,
202134,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,515.0,
202135,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202136,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,562.0,
202137,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,579.0,
202138,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,567.0,
202139,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,580.0,
202140,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,523.0,
202141,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,524.0,
202142,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,540.0,
202143,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,583.0,
202144,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,554.0,
202145,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,524.0,
202146,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,582.0,
202147,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,521.0,
202148,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,597.0,
202149,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,540.0,
202150,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,524.0,
202151,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,571.0,
202152,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,557.0,
202201,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,529.0,
202202,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,570.0,
202203,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202204,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202205,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,566.0,
202206,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,548.0,
202207,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,541.0,
202208,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,522.0,
202209,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,565.0,
202210,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,566.0,
202211,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,549.0,
202212,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,546.0,
202213,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,557.0,
202214,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,554.0,
202215,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,585.0,
202216,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,542.0,
202217,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,541.0,
202218,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,541.0,
202219,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,529.0,
202220,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,512.0,
202221,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,512.0,
202222,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,550.0,
202223,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,561.0,
202224,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,533.0,
202225,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,559.0,
202226,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,487.0,
202227,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,533.0,
202228,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,510.0,
202229,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,518.0,
202230,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,547.0,
202231,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,507.0,
202232,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,565.0,
202233,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,553.0,
202234,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,566.0,
202235,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,517.0,
202236,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,517.0,
202237,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,580.0,
202238,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,558.0,
202239,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,552.0,
202240,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,538.0,
202241,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,534.0,
202242,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,568.0,
202243,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,514.0,
202244,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,534.0,
202245,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,537.0,
202246,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,542.0,
202247,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,556.0,
202248,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,584.0,
202249,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,547.0,
202250,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,562.0,
202251,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,550.0,
202252,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,534.0,
202301,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,570.0,
202302,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,582.0,
202303,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,547.0,
202304,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,528.0,
202305,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,548.0,
202306,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,526.0,
202307,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,512.0,
202308,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,529.0,
202309,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,567.0,
202310,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,569.0,
202311,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,553.0,
202312,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,522.0,
202313,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,559.0,
202314,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,541.0,
202315,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202001,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,552.0,
202002,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,499.0,
202003,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,565.0,
202004,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202005,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,528.0,
202006,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,561.0,
202007,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202008,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,524.0,
202009,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,548.0,
202010,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,590.0,
202011,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,532.0,
202012,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,525.0,
202013,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,555.0,
202014,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,547.0,
202015,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,536.0,
202016,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,537.0,
202017,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,565.0,
202018,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,552.0,
202019,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,532.0,
202020,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,550.0,
202021,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,557.0,
202022,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,588.0,
202023,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,555.0,
202024,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,517.0,
202025,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,569.0,
202026,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,564.0,
202027,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,585.0,
202028,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202029,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,612.0,
202030,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,545.0,
202031,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,538.0,
202032,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,512.0,
202033,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,579.0,
202034,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,502.0,
202035,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,511.0,
202036,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,558.0,
202037,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,580.0,
202038,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,554.0,
202039,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,537.0,
202040,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,526.0,
202041,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202042,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,582.0,
202043,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,544.0,
202044,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,554.0,
202045,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,536.0,
202046,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202047,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,556.0,
202048,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,546.0,
202049,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,578.0,
202050,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,528.0,
202051,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,532.0,
202052,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,570.0,
202101,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,567.0,
202102,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,521.0,
202103,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,590.0,
202104,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,550.0,
202105,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,543.0,
202106,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,563.0,
202107,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,539.0,
202108,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,571.0,
202109,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,568.0,
202110,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,573.0,
202111,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,568.0,
202112,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,559.0,
202113,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,597.0,
202114,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,518.0,
202115,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,530.0,
202116,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,575.0,
202117,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,594.0,
202118,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,543.0,
202119,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,547.0,
202120,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,536.0,
202121,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,579.0,
202122,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,559.0,
202123,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,556.0,
202124,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,543.0,
202125,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,540.0,
202126,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,576.0,
202127,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,523.0,
202128,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,537.0,
202129,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,522.0,
202130,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,545.0,
202131,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202132,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,524.0,
202133,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,541.0,
202134,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,527.0,
202135,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,568.0,
202136,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,566.0,
202137,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,513.0,
202138,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,563.0,
202139,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,555.0,
202140,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,534.0,
202141,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,530.0,
202142,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,527.0,
202143,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202144,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,534.0,
202145,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,542.0,
202146,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,531.0,
202147,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,522.0,
202148,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,535.0,
202149,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,589.0,
202150,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,539.0,
202151,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,526.0,
202152,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,537.0,
202201,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,532.0,
202202,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,534.0,
202203,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,563.0,
202204,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,536.0,
202205,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,541.0,
202206,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202207,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,562.0,
202208,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,547.0,
202209,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,495.0,
202210,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,552.0,
202211,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,559.0,
202212,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202213,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,556.0,
202214,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,576.0,
202215,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,575.0,
202216,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,539.0,
202217,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,572.0,
202218,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,565.0,
202219,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,575.0,
202220,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,507.0,
202221,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,611.0,
202222,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,563.0,
202223,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,563.0,
202224,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,606.0,
202225,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,529.0,
202226,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,537.0,
202227,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,531.0,
202228,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,551.0,
202229,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,546.0,
202230,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202231,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,556.0,
202232,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,567.0,
202233,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,521.0,
202234,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,532.0,
202235,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,524.0,
202236,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,574.0,
202237,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,557.0,
202238,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,574.0,
202239,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,514.0,
202240,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202241,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,531.0,
202242,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,548.0,
202243,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202244,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,528.0,
202245,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,552.0,
202246,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,578.0,
202247,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,548.0,
202248,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,541.0,
202249,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,560.0,
202250,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,564.0,
202251,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,525.0,
202252,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,603.0,
202301,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,558.0,
202302,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,583.0,
202303,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,566.0,
202304,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,552.0,
202305,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,591.0,
202306,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,527.0,
202307,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,549.0,
202308,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,557.0,
202309,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,548.0,
202310,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,571.0,
202311,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,537.0,
202312,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,543.0,
202313,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,520.0,
202314,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,528.0,
202315,US,SC1,BRANDA,DC1,PRDCT1_CUSTB,535.0,
202001,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,525.0,
202002,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,547.0,
202003,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,558.0,
202004,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,543.0,
202005,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,546.0,
202006,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,533.0,
202007,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,521.0,
202008,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,548.0,
202009,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,545.0,
202010,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,533.0,
202011,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,570.0,
202012,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,589.0,
202013,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,557.0,
202014,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,566.0,
202015,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,581.0,
202016,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,533.0,
202017,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,527.0,
202018,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,545.0,
202019,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,571.0,
202020,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,536.0,
202021,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,525.0,
202022,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,531.0,
202023,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,539.0,
202024,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,589.0,
202025,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,550.0,
202026,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,559.0,
202027,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,536.0,
202028,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,506.0,
202029,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,573.0,
202030,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,594.0,
202031,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,575.0,
202032,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,559.0,
202033,US,SC1,BRANDA,DC1,PRDCT1_CUSTC,575.0,
